candidate,prior_disposition,lf_hard_pass,lf_preferred_pass,direct_20_db,direct_50_db,filter_f3_hz,filter_5_db,filter_10_db,filter_20_db,filter_30_db,filter_peak_db,direct_noise_uv_rms,filter_noise_uv_rms,direct_noise_delta_db_vs_branch_local,filter_noise_delta_db_vs_branch_local,switch_selector_peak_v,switch_objective_pass,direct_dc_step_settle_1pct_s
CURRENT_COMMON_PRE_SPLIT,REJECTED_BY_AE052_ANALYTICAL,False,False,-1.510435083655789,-0.33096028531978905,17.36332736795352,-41.45705077391451,-17.00878097151451,-1.9714130754645103,-0.8712768346295097,0.0009792182083104683,0.5361209675049999,0.9718089680449999,0.03354781407887249,0.0990461691844021,0.00378824514337,True,2.16163539446
POST_SWITCH_COMMON,REJECTED_BY_AE052_TRANSIENT_RISK,True,True,-0.0025240680619588863,-0.00040315930650963706,15.04858175115897,-38.25606723730501,-14.30323382460501,-0.4635040927790104,-0.04386217769691039,0.00010843598283846444,0.534054282503,0.960798946993,0.0,7.848759669477596e-05,0.249497413635,False,1.59224717298
BRANCH_LOCAL_DIRECT_BYPASS_BLOCK,PREFERRED_BY_AE052,True,True,-0.0025240679675401874,-0.000403159235940735,15.044700048475532,-38.21583048817012,-14.29314481737012,-0.46096274276911925,-0.04272858214982048,0.00010742345354937364,0.534054282503,0.960790265043,0.0,0.0,0.00378824514337,True,1.59223534729
RUMBLE_SCALE10_COMMON_1P2UF,DEPRIORITISED_BY_AE052,False,False,-0.12189666295548898,-0.023176692640990232,15.203466042763887,-38.5568094470208,-14.548438778620799,-0.5831311076168001,-0.10438769807979997,0.00016610384120049903,0.534150088304,1.16291180439,0.001558051322660288,1.6583636980187169,0.00379136996344,True,1.97118660742
