RUN_ID,CASE_ID,METRIC,VALUE,UNIT,PASS_FAIL,NOTES
RUN01,AT_VM95SP_CABLE200_SERVICE0,peak_below_50khz,0.983560478,dB,PASS,CHARACTERISATION
RUN01,AT_VM95SP_CABLE200_SERVICE47,peak_below_20khz,1.50987207,dB,FAIL,CHARACTERISATION
RUN01,AT_VM95SP_CABLE200_SERVICE47,peak_below_50khz,1.50987207,dB,PASS,CHARACTERISATION
RUN01,AT_VM95SP_CABLE200_SERVICE100,peak_below_20khz,2.05084969,dB,FAIL,CHARACTERISATION
RUN01,AT_VM95SP_CABLE200_SERVICE100,peak_below_50khz,2.05084969,dB,FAIL,CHARACTERISATION
RUN01,AT_VM95SP_CABLE300_SERVICE0,peak_below_20khz,2.06228127,dB,FAIL,CHARACTERISATION
RUN01,AT_VM95SP_CABLE300_SERVICE0,peak_below_50khz,2.06228127,dB,FAIL,CHARACTERISATION
RUN01,AT_VM95SP_CABLE300_SERVICE47,peak_below_20khz,2.49710331,dB,FAIL,CHARACTERISATION
RUN01,AT_VM95SP_CABLE300_SERVICE47,peak_below_50khz,2.49710331,dB,FAIL,CHARACTERISATION
RUN01,AT_VM95SP_CABLE300_SERVICE100,peak_below_20khz,2.93650606,dB,FAIL,CHARACTERISATION
RUN01,AT_VM95SP_CABLE300_SERVICE100,peak_below_50khz,2.93650606,dB,FAIL,CHARACTERISATION
RUN01,GRADO_GOLD_8MZ_CABLE50_SERVICE0,peak_below_20khz,0.426356417,dB,PASS,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE50_SERVICE0,peak_below_50khz,2.80563288,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE50_SERVICE47,peak_below_20khz,0.75389117,dB,PASS,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE50_SERVICE47,peak_below_50khz,5.32431927,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE50_SERVICE100,peak_below_20khz,1.13734046,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE50_SERVICE100,peak_below_50khz,8.00260283,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE100_SERVICE0,peak_below_20khz,0.778431868,dB,PASS,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE100_SERVICE0,peak_below_50khz,5.53428273,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE100_SERVICE47,peak_below_20khz,1.11883927,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE100_SERVICE47,peak_below_50khz,7.96688568,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE100_SERVICE100,peak_below_20khz,1.51783637,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE100_SERVICE100,peak_below_50khz,9.00731301,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE150_SERVICE0,peak_below_20khz,1.14437107,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE150_SERVICE0,peak_below_50khz,8.12695137,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE150_SERVICE47,peak_below_20khz,1.49859848,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE150_SERVICE47,peak_below_50khz,9.04118652,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE150_SERVICE100,peak_below_20khz,1.91430895,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE150_SERVICE100,peak_below_50khz,9.64230156,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE200_SERVICE0,peak_below_20khz,1.52519627,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE200_SERVICE0,peak_below_50khz,9.10558472,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE200_SERVICE47,peak_below_20khz,1.89428159,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE200_SERVICE47,peak_below_50khz,9.6679637,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE200_SERVICE100,peak_below_20khz,2.32798011,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE200_SERVICE100,peak_below_50khz,10.1535354,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE300_SERVICE0,peak_below_20khz,2.33609076,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE300_SERVICE0,peak_below_50khz,10.2194247,dB,FAIL,COMPATIBILITY_NON_GATING
RUN01,GRADO_GOLD_8MZ_CABLE300_SERVICE47,peak_below_20khz,2.7384013,dB,FAIL,COMPATIBILITY_NON_GATING
